bce_number,name,status
0207362343,Commune de Gesves,AC
0207362739,Ville de Namur,AC
0207364818,Commune de Doische,AC
0207365016,Commune de Mettet,AC
0207365115,Commune de Cerfontaine,AC
0207365610,Commune d'Etterbeek,AC
0207365709,Commune d'Evere,AC
0207366501,Commune de Molenbeek-Saint-Jean,AC
0207366895,Commune de Jette,AC
0207366994,Commune de Woluwé-Saint-Pierre,AC
0207367489,Commune de Forest,AC
0207367588,Commune de Saint-Gilles,AC
0207367687,Commune de Schaerbeek,AC
0207367984,Commune de Raeren,AC
0207368380,Gemeente Linter,AC
0207368875,Commune d'Uccle,AC
0207368974,Commune de Lontzen,AC
0207369271,Ville de Visé,AC
0207370459,Commune d'Aubel,AC
0207371647,Ville de Herve,AC
0207372043,Commune de Profondeville,AC
0207372538,Commune de Koekelberg,AC
0207372637,Commune de Watermael-Boitsfort,AC
0207372736,Commune d'Olne,AC
0207373429,Ville de Bruxelles,AC
0207373627,Commune de Theux,AC
0207374617,Commune de Berloz,AC
0207375310,Commune de Braives,AC
0207375904,Commune de Crisnée,AC
0207376102,Commune de Donceel,AC
0207376397,Commune de Fexhe-le-Haut-Clocher,AC
0207376595,Commune de Geer,AC
0207376991,Ville de Hannut,AC
0207378080,Commune de Lincent,AC
0207378773,Commune d'Oreye,AC
0207379268,Commune de Remicourt,AC
0207379466,Commune de Saint-Georges-sur-Meuse,AC
0207380159,Ville de Waremme,AC
0207380258,Commune de Wasseiges,AC
0207380456,Commune d'Attert,AC
0207380555,Ville d'Aubange,AC
0207381446,Commune de Martelange,AC
0207381644,Commune de Messancy,AC
0207383129,Commune de Fauvillers,AC
0207384812,Commune de Vielsalm,AC
0207386196,Ville de Durbuy,AC
0207386295,Commune d'Érezée,AC
0207387978,Commune de Rendeux,AC
0207389859,Commune de Woluwe-Saint-Lambert,AC
0207389958,Commune de La Calamine,AC
0207391344,Commune de Tellin,AC
0207391443,Commune de Meix-devant-Virton,AC
0207391641,Commune de Musson,AC
0207392433,Commune de Saint-Léger (Lux.),AC
0207392928,Commune de Tintigny,AC
0207394116,Ville de Beauraing,AC
0207394215,Commune de Bièvre,AC
0207396292,Commune de Hamois,AC
0207396490,Commune de Havelange,AC
0207399757,Commune de Somme-Leuze,AC
0207400846,Commune de Bullange,AC
0207401044,Commune de Ganshoren,AC
0207401341,Commune d'Ixelles,AC
0207401935,Commune de Nassogne,AC
0207402331,Commune d'Amel,AC
0207402430,Commune de Lierneux,AC
0207402628,Commune de Jalhay,AC
0207403222,Commune de Waimes,AC
0207403915,Ville de Stavelot,AC
0207404014,Commune de Stoumont,AC
0207409457,Commune d'Incourt,AC
0207410546,Commune de Hensies,AC
0207410645,Commune de Silly,AC
0207430342,Gemeente Kuurne,AC
0207430441,Stad Mesen,AC
0207431332,Gemeente Ichtegem,AC
0207431629,Gemeente Moorslede,AC
0207432124,Gemeente Zonnebeke,AC
0207432520,Stad Roeselare,AC
0207432916,Gemeente Pittem,AC
0207433312,Stad Menen,AC
0207433708,Stad Waregem,AC
0207434203,Gemeente Dentergem,AC
0207434597,Gemeente De Panne,AC
0207435092,Gemeente Bredene,AC
0207435785,Gemeente Lichtervelde,AC
0207436676,Gemeente Oostrozebeke,AC
0207436775,Stad Oostende,AC
0207437468,Stad Aalst,AC
0207437864,Gemeente Wielsbeke,AC
0207438458,Stad Tielt,AC
0207439151,Gemeente Haaltert,AC
0207439448,Gemeente Herzele,AC
0207439745,Gemeente Denderleeuw,AC
0207440438,Gemeente Lede,AC
0207441527,Stad Ninove,AC
0207443012,Gemeente Sint-Lievens-Houtem,AC
0207444990,Stad Zottegem,AC
0207445287,Gemeente Buggenhout,AC
0207445485,Gemeente Berlare,AC
0207445584,Stad Dendermonde,AC
0207445782,Gemeente Hamme (Vl.),AC
0207445881,Gemeente Laarne,AC
0207446079,Gemeente Lebbeke,AC
0207447069,Gemeente Waasmunster,AC
0207447366,Gemeente Wetteren,AC
0207447465,Gemeente Wichelen,AC
0207447663,Gemeente Zele,AC
